S_NO,NAME,DEPARTMENT,MATHS_ATT,CT_ATT,DE_ATT,CPP_ATT,COE_ATT,MATHS_SCORE,CT_SCORE,DE_SCORE,CPP_SCORE,STUDENT_PROFILE,PARENT_ID,PARENT_PASSWORD
85,Amit99,Computer Science Engineering,60,76,55,58,64,33,85,99,92,Inconsistent Learner,p_amit99,pass_5232
86,Arjun36,Computer Science Engineering,55,95,97,76,99,81,50,44,51,Struggling Academically,p_arjun36,pass_9441
87,Ajay46,Computer Science Engineering,47,83,80,54,91,35,82,81,93,Inconsistent Learner,p_ajay46,pass_4567
88,Amit63,Computer Science Engineering,83,64,73,77,47,49,99,75,85,Inconsistent Learner,p_amit63,pass_3999
89,Ajay72,Computer Science Engineering,68,95,91,77,77,49,78,54,31,Struggling Academically,p_ajay72,pass_6579
90,Amit51,Computer Science Engineering,73,78,55,95,82,44,82,56,67,Inconsistent Learner,p_amit51,pass_7525
91,Pennesh26,Computer Science Engineering,64,70,43,47,57,90,36,59,55,Inconsistent Learner,p_pennesh26,pass_2356
92,Neha92,Computer Science Engineering,52,60,94,77,74,89,79,77,36,Inconsistent Learner,p_neha92,pass_4522
93,Kavinaya4,Computer Science Engineering,64,64,74,43,58,66,34,93,95,Inconsistent Learner,p_kavinaya4,pass_9434
94,Karan85,Computer Science Engineering,80,73,62,92,82,77,54,94,99,Inconsistent Learner,p_karan85,pass_2029
95,Sabereesh81,Computer Science Engineering,94,88,58,61,84,47,36,92,66,Inconsistent Learner,p_sabereesh81,pass_1141
96,Pennesh30,Computer Science Engineering,52,62,91,87,94,99,86,98,66,Inconsistent Learner,p_pennesh30,pass_6904
97,Sabereesh25,Computer Science Engineering,96,90,80,46,76,82,58,45,40,Inconsistent Learner,p_sabereesh25,pass_2778
98,Ajith96,Computer Science Engineering,50,88,97,58,74,89,96,78,42,Inconsistent Learner,p_ajith96,pass_3844
99,Neha15,Computer Science Engineering,70,80,97,47,72,46,58,34,80,Inconsistent Learner,p_neha15,pass_7951
100,Mitul81,Computer Science Engineering,81,71,81,85,84,35,87,89,64,Inconsistent Learner,p_mitul81,pass_4389
101,Vikram20,Computer Science Engineering,47,67,88,70,66,61,97,97,88,Inconsistent Learner,p_vikram20,pass_5028
102,Karan73,Computer Science Engineering,91,69,89,88,69,43,94,96,86,Inconsistent Learner,p_karan73,pass_3802
103,Sabereesh63,Computer Science Engineering,71,90,54,40,71,41,93,36,30,Inconsistent Learner,p_sabereesh63,pass_7199
104,Pooja35,Computer Science Engineering,98,71,57,62,35,40,73,50,37,Inconsistent Learner,p_pooja35,pass_2613
105,Pradhik63,Computer Science Engineering,55,61,86,51,49,88,73,36,58,Inconsistent Learner,p_pradhik63,pass_5553
106,Pennesh94,Computer Science Engineering,55,73,78,43,59,94,62,93,93,Theoretical Learner,p_pennesh94,pass_8597
107,Rahul26,Computer Science Engineering,52,93,85,88,37,72,71,62,37,Inconsistent Learner,p_rahul26,pass_8132
108,Sabereesh69,Computer Science Engineering,68,73,91,97,33,64,60,92,88,Inconsistent Learner,p_sabereesh69,pass_5190
109,Arjun32,Computer Science Engineering,63,62,47,96,61,47,80,86,39,Inconsistent Learner,p_arjun32,pass_9419
110,Arjun45,Computer Science Engineering,99,53,80,74,86,35,74,52,60,Inconsistent Learner,p_arjun45,pass_1241
111,Pennesh32,Computer Science Engineering,45,86,40,66,49,54,33,39,57,Needs Motivation,p_pennesh32,pass_7950
112,Amit34,Computer Science Engineering,52,70,69,46,99,32,78,31,90,Practical Learner,p_amit34,pass_3901
113,Pradhik26,Computer Science Engineering,43,51,54,59,96,50,97,88,30,Practical Learner,p_pradhik26,pass_3853
114,Neha16,Computer Science Engineering,72,70,83,76,35,33,73,72,56,Inconsistent Learner,p_neha16,pass_4762
115,Arjun85,Computer Science Engineering,96,96,68,97,64,86,65,36,46,Struggling Academically,p_arjun85,pass_7647
116,Sabereesh87,Computer Science Engineering,69,87,80,79,42,33,90,30,53,Inconsistent Learner,p_sabereesh87,pass_4964
117,Mitul97,Computer Science Engineering,51,96,47,40,50,47,42,42,92,Needs Motivation,p_mitul97,pass_2629
118,Priya39,Computer Science Engineering,87,75,42,92,91,78,31,75,48,Practical Learner,p_priya39,pass_5559
119,Pradhik61,Computer Science Engineering,43,83,89,80,37,73,39,54,62,Inconsistent Learner,p_pradhik61,pass_8701
120,Siva95,Computer Science Engineering,45,78,62,40,91,53,40,99,47,Practical Learner,p_siva95,pass_4469
121,Ajith97,Computer Science Engineering,84,80,90,64,35,90,62,78,59,Inconsistent Learner,p_ajith97,pass_6368
122,Ajay85,Computer Science Engineering,52,66,99,88,86,96,59,60,70,Inconsistent Learner,p_ajay85,pass_5851
123,Priya65,Computer Science Engineering,59,69,71,77,70,82,45,30,33,Inconsistent Learner,p_priya65,pass_3470
124,Pooja4,Computer Science Engineering,95,81,76,47,77,56,53,91,39,Inconsistent Learner,p_pooja4,pass_1669
125,Pradhik19,Computer Science Engineering,65,68,45,85,97,41,52,65,59,Practical Learner,p_pradhik19,pass_3533
126,Kavinaya70,Computer Science Engineering,55,86,73,41,84,87,62,58,57,Practical Learner,p_kavinaya70,pass_7566
127,Kavinaya58,Computer Science Engineering,93,70,74,48,51,67,34,48,60,Inconsistent Learner,p_kavinaya58,pass_3016
128,Vijay74,Computer Science Engineering,53,69,60,69,33,95,92,82,68,Theoretical Learner,p_vijay74,pass_4455
129,Pennesh86,Computer Science Engineering,98,95,97,48,31,73,61,58,37,Struggling Academically,p_pennesh86,pass_2310
130,Pooja47,Computer Science Engineering,90,99,72,96,82,54,47,32,81,Struggling Academically,p_pooja47,pass_4550
131,Pooja44,Computer Science Engineering,85,84,68,62,89,30,38,81,61,Practical Learner,p_pooja44,pass_4138
132,Vikram36,Computer Science Engineering,76,80,92,68,69,63,90,98,87,Inconsistent Learner,p_vikram36,pass_4854
133,Neha56,Computer Science Engineering,59,79,53,62,57,45,54,41,53,Inconsistent Learner,p_neha56,pass_5361
134,Pradhik28,Computer Science Engineering,49,85,40,53,54,89,30,63,61,Inconsistent Learner,p_pradhik28,pass_9240
135,Riya12,Computer Science Engineering,56,49,92,44,93,85,74,48,81,Inconsistent Learner,p_riya12,pass_7679
136,Ajith81,Computer Science Engineering,78,59,59,82,60,76,54,43,87,Inconsistent Learner,p_ajith81,pass_3004
137,Priya43,Computer Science Engineering,54,45,95,69,83,35,34,44,74,Practical Learner,p_priya43,pass_9882
138,Pooja6,Computer Science Engineering,80,56,40,85,70,46,49,36,62,Inconsistent Learner,p_pooja6,pass_4446
139,Amit12,Computer Science Engineering,59,58,50,60,35,80,36,38,31,Needs Motivation,p_amit12,pass_3645
140,Amit91,Computer Science Engineering,45,90,81,90,49,42,67,94,67,Inconsistent Learner,p_amit91,pass_5031
141,Rahul30,Computer Science Engineering,89,64,57,49,99,44,71,41,77,Practical Learner,p_rahul30,pass_6749
142,Pennesh1,Computer Science Engineering,80,40,72,53,65,48,55,74,30,Inconsistent Learner,p_pennesh1,pass_9116
143,Vijay1,Computer Science Engineering,54,84,58,62,52,35,54,40,98,Inconsistent Learner,p_vijay1,pass_2558
144,Siva98,Computer Science Engineering,48,96,50,49,84,80,31,39,52,Practical Learner,p_siva98,pass_5451
145,Pradhik93,Computer Science Engineering,50,61,60,73,40,66,41,47,95,Inconsistent Learner,p_pradhik93,pass_1199
146,Mitul77,Computer Science Engineering,56,67,78,49,83,41,34,55,59,Practical Learner,p_mitul77,pass_8549
147,Priya95,Computer Science Engineering,61,95,69,44,45,33,80,31,71,Inconsistent Learner,p_priya95,pass_5291
148,Mitul22,Computer Science Engineering,59,68,78,97,52,42,58,39,44,Inconsistent Learner,p_mitul22,pass_5654
149,Riya79,Computer Science Engineering,85,99,97,71,99,88,46,51,52,Struggling Academically,p_riya79,pass_5327
150,Siva36,Computer Science Engineering,90,93,92,85,50,44,82,83,62,Inconsistent Learner,p_siva36,pass_4676
151,Priya64,Computer Science Engineering,78,40,81,64,69,75,61,78,95,Inconsistent Learner,p_priya64,pass_7861
152,Vikram4,Computer Science Engineering,59,51,45,92,58,78,40,71,61,Inconsistent Learner,p_vikram4,pass_6130
153,Mitul96,Computer Science Engineering,50,58,55,48,67,41,32,98,96,Inconsistent Learner,p_mitul96,pass_5951
154,Siva76,Computer Science Engineering,68,66,48,86,83,84,74,57,91,Inconsistent Learner,p_siva76,pass_8756
155,Sneha32,Computer Science Engineering,74,74,52,91,72,31,93,93,90,Inconsistent Learner,p_sneha32,pass_9308
156,Mitul95,Computer Science Engineering,58,59,90,72,72,55,70,69,68,Inconsistent Learner,p_mitul95,pass_4956
157,Vikram12,Computer Science Engineering,72,64,92,60,89,79,36,81,46,Practical Learner,p_vikram12,pass_8450
158,Riya45,Computer Science Engineering,46,84,54,44,55,34,67,38,79,Needs Motivation,p_riya45,pass_3902
159,Rahul87,Computer Science Engineering,75,66,56,47,74,76,65,90,50,Inconsistent Learner,p_rahul87,pass_4995
160,Vijay3,Computer Science Engineering,89,73,47,93,36,66,90,60,86,Inconsistent Learner,p_vijay3,pass_4853
161,Pooja55,Computer Science Engineering,59,42,84,64,85,80,92,43,90,Inconsistent Learner,p_pooja55,pass_7341
162,Kavinaya28,Computer Science Engineering,77,49,59,46,33,30,66,77,70,Inconsistent Learner,p_kavinaya28,pass_7806
163,Neha40,Computer Science Engineering,75,99,96,74,99,67,98,58,81,Inconsistent Learner,p_neha40,pass_4954
164,Balkies27,Computer Science Engineering,48,47,52,74,61,46,57,97,93,Inconsistent Learner,p_balkies27,pass_3052
165,Vijay88,Computer Science Engineering,79,45,50,42,92,90,66,98,36,Inconsistent Learner,p_vijay88,pass_3215
166,Pradhik55,Computer Science Engineering,45,96,80,62,77,64,88,47,38,Inconsistent Learner,p_pradhik55,pass_5936
167,Rahul94,Computer Science Engineering,78,70,64,98,38,67,56,88,35,Inconsistent Learner,p_rahul94,pass_6448
168,Pooja23,Computer Science Engineering,83,63,84,83,34,98,79,32,65,Inconsistent Learner,p_pooja23,pass_5882
169,Rahul62,Computer Science Engineering,41,83,49,93,33,90,59,54,77,Inconsistent Learner,p_rahul62,pass_8819
170,Vikram56,Computer Science Engineering,69,95,59,80,58,36,46,73,99,Inconsistent Learner,p_vikram56,pass_1575
171,Riya9,Computer Science Engineering,71,54,41,52,33,92,73,92,49,Inconsistent Learner,p_riya9,pass_6152
172,Arjun29,Computer Science Engineering,83,79,60,62,68,54,47,85,48,Inconsistent Learner,p_arjun29,pass_1253
173,Ajith47,Computer Science Engineering,83,75,70,90,42,30,78,56,94,Inconsistent Learner,p_ajith47,pass_6774
174,Rahul41,Computer Science Engineering,74,75,76,51,56,39,69,90,55,Inconsistent Learner,p_rahul41,pass_3382
175,Vikram95,Computer Science Engineering,95,58,54,90,89,44,53,42,76,Practical Learner,p_vikram95,pass_2462
176,Amit33,Computer Science Engineering,59,83,65,77,74,35,60,79,81,Inconsistent Learner,p_amit33,pass_4995
177,Mitul44,Computer Science Engineering,52,61,59,84,70,37,91,99,88,Inconsistent Learner,p_mitul44,pass_9149
178,Pradhik35,Computer Science Engineering,83,96,88,62,34,64,78,54,68,Inconsistent Learner,p_pradhik35,pass_6151
179,Siva54,Computer Science Engineering,91,48,97,87,94,76,49,77,38,Inconsistent Learner,p_siva54,pass_8309
180,Pennesh15,Computer Science Engineering,77,64,88,61,92,69,95,46,73,Inconsistent Learner,p_pennesh15,pass_9340
181,Neha62,Computer Science Engineering,64,42,86,51,70,87,84,69,99,Inconsistent Learner,p_neha62,pass_9427
182,Ajith48,Computer Science Engineering,95,50,81,52,81,75,31,43,82,Practical Learner,p_ajith48,pass_8503
183,Vikram43,Computer Science Engineering,40,96,50,88,41,57,71,83,86,Inconsistent Learner,p_vikram43,pass_1862
184,Rahul90,Computer Science Engineering,87,80,55,72,55,98,75,65,83,Theoretical Learner,p_rahul90,pass_9986
185,Rahul20,Computer Science Engineering,88,65,50,53,99,47,88,45,52,Practical Learner,p_rahul20,pass_3142
186,Pooja43,Computer Science Engineering,46,44,81,83,49,74,63,93,75,Inconsistent Learner,p_pooja43,pass_4331
187,Priya45,Computer Science Engineering,46,96,61,51,74,91,43,39,48,Inconsistent Learner,p_priya45,pass_1076
188,Neha87,Computer Science Engineering,44,49,74,48,72,67,90,82,73,Inconsistent Learner,p_neha87,pass_3157
189,Vikram92,Computer Science Engineering,66,89,85,97,82,42,70,68,45,Struggling Academically,p_vikram92,pass_7784
190,Riya89,Computer Science Engineering,40,52,69,40,48,47,98,43,38,Needs Motivation,p_riya89,pass_9306
191,Karan7,Computer Science Engineering,66,72,67,98,40,48,77,88,48,Inconsistent Learner,p_karan7,pass_3367
192,Mitul28,Computer Science Engineering,83,72,44,64,86,30,89,47,36,Practical Learner,p_mitul28,pass_1409
193,Karan90,Computer Science Engineering,85,73,60,48,40,83,87,86,79,Theoretical Learner,p_karan90,pass_6333
194,Ajith47,Computer Science Engineering,72,98,44,41,40,84,50,75,36,Inconsistent Learner,p_ajith47,pass_5555
195,Sneha22,Computer Science Engineering,44,97,64,76,68,40,81,56,93,Inconsistent Learner,p_sneha22,pass_2882
196,Neha34,Computer Science Engineering,48,43,44,46,76,40,36,46,74,Inconsistent Learner,p_neha34,pass_8669
197,Balkies57,Computer Science Engineering,74,92,66,74,39,85,37,44,31,Inconsistent Learner,p_balkies57,pass_3468
198,Pradhik34,Computer Science Engineering,90,90,97,63,41,33,56,89,73,Inconsistent Learner,p_pradhik34,pass_5855
199,Ajith65,Computer Science Engineering,58,58,61,84,40,96,78,81,49,Inconsistent Learner,p_ajith65,pass_4680
200,Sabereesh57,Computer Science Engineering,48,50,51,96,61,91,70,47,95,Inconsistent Learner,p_sabereesh57,pass_1709
201,Balkies72,Computer Science Engineering,63,95,96,49,77,83,62,42,77,Inconsistent Learner,p_balkies72,pass_4153
202,Kavinaya71,Computer Science Engineering,46,84,92,79,90,34,70,78,85,Inconsistent Learner,p_kavinaya71,pass_5073
203,Pennesh45,Computer Science Engineering,66,54,79,68,61,57,61,53,91,Inconsistent Learner,p_pennesh45,pass_5477
204,Balkies16,Computer Science Engineering,67,58,48,59,96,75,70,43,51,Practical Learner,p_balkies16,pass_8681
205,Amit45,Computer Science Engineering,71,50,84,42,83,71,71,47,34,Practical Learner,p_amit45,pass_9453
206,Ajay92,Computer Science Engineering,68,94,81,74,99,94,71,49,96,Inconsistent Learner,p_ajay92,pass_9693
207,Siva53,Computer Science Engineering,72,89,80,89,33,93,67,93,93,Theoretical Learner,p_siva53,pass_7516
208,Pradhik43,Computer Science Engineering,66,86,79,58,53,57,48,53,38,Inconsistent Learner,p_pradhik43,pass_8022
209,Sabereesh25,Computer Science Engineering,77,73,53,70,33,48,93,96,64,Inconsistent Learner,p_sabereesh25,pass_1543
210,Pennesh95,Computer Science Engineering,74,59,97,55,51,67,87,68,68,Inconsistent Learner,p_pennesh95,pass_8534
211,Kavinaya35,Computer Science Engineering,42,99,67,72,65,51,74,48,53,Inconsistent Learner,p_kavinaya35,pass_9881
212,Balkies43,Computer Science Engineering,41,42,62,55,53,77,34,48,79,Needs Motivation,p_balkies43,pass_8983
213,Pooja75,Computer Science Engineering,65,72,66,62,61,45,69,52,48,Inconsistent Learner,p_pooja75,pass_2876
214,Karan48,Computer Science Engineering,66,95,40,88,74,74,84,33,57,Inconsistent Learner,p_karan48,pass_2641
215,Rahul67,Computer Science Engineering,43,80,55,64,83,73,81,62,32,Practical Learner,p_rahul67,pass_1300
216,Rahul33,Computer Science Engineering,66,48,45,81,90,75,48,31,63,Practical Learner,p_rahul33,pass_5266
217,Balkies81,Computer Science Engineering,65,99,97,83,47,31,98,83,42,Inconsistent Learner,p_balkies81,pass_1126
218,Mitul89,Computer Science Engineering,65,63,73,40,64,64,81,84,86,Inconsistent Learner,p_mitul89,pass_2533
219,Vikram19,Computer Science Engineering,44,47,99,74,67,32,52,70,34,Inconsistent Learner,p_vikram19,pass_9734
220,Pradhik32,Computer Science Engineering,76,79,56,63,38,40,48,97,97,Inconsistent Learner,p_pradhik32,pass_4879
221,Sneha78,Computer Science Engineering,80,72,94,79,54,49,43,95,94,Inconsistent Learner,p_sneha78,pass_3153
222,Pennesh1,Computer Science Engineering,41,47,44,88,39,96,57,72,85,Inconsistent Learner,p_pennesh1,pass_6603
223,Pennesh43,Computer Science Engineering,99,98,83,75,36,76,88,65,56,Inconsistent Learner,p_pennesh43,pass_3982
224,Pooja20,Computer Science Engineering,91,58,46,88,41,31,65,39,49,Inconsistent Learner,p_pooja20,pass_6215
225,Pradhik44,Computer Science Engineering,55,87,66,48,82,48,33,60,97,Practical Learner,p_pradhik44,pass_1891
226,Mitul1,Computer Science Engineering,65,94,61,44,42,40,86,67,63,Inconsistent Learner,p_mitul1,pass_1385
227,Riya35,Computer Science Engineering,86,75,98,94,57,52,52,99,57,Inconsistent Learner,p_riya35,pass_4622
228,Karan24,Computer Science Engineering,95,65,52,86,39,94,78,35,70,Inconsistent Learner,p_karan24,pass_8517
229,Sneha48,Computer Science Engineering,76,74,50,59,81,55,50,94,42,Practical Learner,p_sneha48,pass_2922
230,Ajith36,Computer Science Engineering,50,45,59,76,64,77,92,53,89,Inconsistent Learner,p_ajith36,pass_5967
231,Pennesh44,Computer Science Engineering,51,55,78,53,35,38,46,96,40,Needs Motivation,p_pennesh44,pass_3207
232,Kavinaya92,Computer Science Engineering,67,64,73,79,35,69,43,87,87,Inconsistent Learner,p_kavinaya92,pass_2707
233,Ajay52,Computer Science Engineering,98,51,52,55,54,48,75,64,39,Inconsistent Learner,p_ajay52,pass_5778
234,Vijay52,Computer Science Engineering,92,58,66,72,93,40,60,37,93,Practical Learner,p_vijay52,pass_2814
235,Kavinaya52,Computer Science Engineering,56,45,51,85,96,84,69,93,50,Inconsistent Learner,p_kavinaya52,pass_4735
236,Ajith69,Computer Science Engineering,75,68,95,74,47,69,67,55,93,Inconsistent Learner,p_ajith69,pass_8236
237,Pooja82,Computer Science Engineering,48,56,55,77,50,71,35,93,50,Inconsistent Learner,p_pooja82,pass_2476
